market,region,date,skill_name,industry_focus,job_postings_count,graduates_with_skill,demand_index,supply_index
Canada,Ontario,2023-10-01,Python,Technology,255,193,81.46,86.64
Canada,Ontario,2023-11-01,Python,Technology,262,194,83.7,87.01
Canada,Ontario,2023-12-01,Python,Technology,264,197,84.47,88.24
Canada,Ontario,2024-01-01,Python,Technology,264,198,84.49,89.06
Canada,Ontario,2024-02-01,Python,Technology,267,196,85.24,88.2
Canada,Ontario,2024-03-01,Python,Technology,272,200,86.91,89.62
Canada,Ontario,2024-04-01,Python,Technology,272,201,87.1,90.29
Canada,Ontario,2024-05-01,Python,Technology,276,202,88.32,90.89
Canada,Ontario,2024-06-01,Python,Technology,278,201,88.88,90.33
Canada,Ontario,2024-07-01,Python,Technology,282,203,90.16,91.3
Canada,Ontario,2024-08-01,Python,Technology,285,202,91.2,90.71
Canada,Ontario,2024-09-01,Python,Technology,292,204,93.48,91.71
Canada,Ontario,2024-10-01,Python,Technology,294,211,93.96,94.55
Canada,Ontario,2024-11-01,Python,Technology,296,209,94.73,94.03
Canada,Ontario,2024-12-01,Python,Technology,298,206,95.19,92.68
Canada,Ontario,2025-01-01,Python,Technology,303,208,96.97,93.17
Canada,Ontario,2025-02-01,Python,Technology,304,212,97.15,95.11
Canada,Ontario,2025-03-01,Python,Technology,302,215,96.52,96.53
Canada,Ontario,2025-04-01,Python,Technology,299,216,95.51,96.79
Canada,Ontario,2025-05-01,Python,Technology,298,221,95.24,99.14
Canada,Ontario,2025-06-01,Python,Technology,306,222,97.66,99.78
Canada,Ontario,2025-07-01,Python,Technology,311,224,99.28,100.56
Canada,Ontario,2025-08-01,Python,Technology,315,225,100.66,100.78
Canada,Ontario,2025-09-01,Python,Technology,313,223,100.0,100.0
Canada,Ontario,2023-10-01,SQL,Technology,246,186,82.65,78.65
Canada,Ontario,2023-11-01,SQL,Technology,249,192,83.51,81.36
Canada,Ontario,2023-12-01,SQL,Technology,251,193,84.3,81.68
Canada,Ontario,2024-01-01,SQL,Technology,258,195,86.56,82.66
Canada,Ontario,2024-02-01,SQL,Technology,260,197,87.2,83.69
Canada,Ontario,2024-03-01,SQL,Technology,261,199,87.64,84.21
Canada,Ontario,2024-04-01,SQL,Technology,259,202,86.92,85.45
Canada,Ontario,2024-05-01,SQL,Technology,261,206,87.39,87.32
Canada,Ontario,2024-06-01,SQL,Technology,261,204,87.62,86.47
Canada,Ontario,2024-07-01,SQL,Technology,263,210,88.09,88.79
Canada,Ontario,2024-08-01,SQL,Technology,263,210,88.31,88.87
Canada,Ontario,2024-09-01,SQL,Technology,262,210,87.81,88.79
Canada,Ontario,2024-10-01,SQL,Technology,263,209,88.12,88.58
Canada,Ontario,2024-11-01,SQL,Technology,268,210,90.01,89.18
Canada,Ontario,2024-12-01,SQL,Technology,270,215,90.68,91.3
Canada,Ontario,2025-01-01,SQL,Technology,276,217,92.61,91.97
Canada,Ontario,2025-02-01,SQL,Technology,279,221,93.5,93.48
Canada,Ontario,2025-03-01,SQL,Technology,280,219,93.92,92.81
Canada,Ontario,2025-04-01,SQL,Technology,284,223,95.12,94.47
Canada,Ontario,2025-05-01,SQL,Technology,287,223,96.09,94.54
Canada,Ontario,2025-06-01,SQL,Technology,288,224,96.54,94.93
Canada,Ontario,2025-07-01,SQL,Technology,289,229,96.9,96.97
Canada,Ontario,2025-08-01,SQL,Technology,295,232,98.88,98.48
Canada,Ontario,2025-09-01,SQL,Technology,298,236,100.0,100.0
Canada,Ontario,2023-10-01,Power BI,Business Intelligence,159,125,80.82,80.56
Canada,Ontario,2023-11-01,Power BI,Business Intelligence,160,126,81.46,81.31
Canada,Ontario,2023-12-01,Power BI,Business Intelligence,160,127,81.5,82.11
Canada,Ontario,2024-01-01,Power BI,Business Intelligence,165,130,84.17,83.72
Canada,Ontario,2024-02-01,Power BI,Business Intelligence,166,130,84.55,84.15
Canada,Ontario,2024-03-01,Power BI,Business Intelligence,166,132,84.46,85.32
Canada,Ontario,2024-04-01,Power BI,Business Intelligence,168,132,85.48,84.9
Canada,Ontario,2024-05-01,Power BI,Business Intelligence,170,132,86.58,85.27
Canada,Ontario,2024-06-01,Power BI,Business Intelligence,174,134,88.53,86.29
Canada,Ontario,2024-07-01,Power BI,Business Intelligence,178,135,90.77,86.77
Canada,Ontario,2024-08-01,Power BI,Business Intelligence,179,136,91.24,87.95
Canada,Ontario,2024-09-01,Power BI,Business Intelligence,182,139,92.89,89.34
Canada,Ontario,2024-10-01,Power BI,Business Intelligence,182,140,92.55,90.41
Canada,Ontario,2024-11-01,Power BI,Business Intelligence,183,141,93.31,90.95
Canada,Ontario,2024-12-01,Power BI,Business Intelligence,184,145,93.48,93.47
Canada,Ontario,2025-01-01,Power BI,Business Intelligence,184,145,93.86,93.63
Canada,Ontario,2025-02-01,Power BI,Business Intelligence,187,147,95.17,94.7
Canada,Ontario,2025-03-01,Power BI,Business Intelligence,188,149,95.85,96.36
Canada,Ontario,2025-04-01,Power BI,Business Intelligence,191,152,97.04,97.7
Canada,Ontario,2025-05-01,Power BI,Business Intelligence,194,153,98.69,98.93
Canada,Ontario,2025-06-01,Power BI,Business Intelligence,194,155,98.94,99.63
Canada,Ontario,2025-07-01,Power BI,Business Intelligence,195,156,99.28,100.86
Canada,Ontario,2025-08-01,Power BI,Business Intelligence,195,155,99.11,100.21
Canada,Ontario,2025-09-01,Power BI,Business Intelligence,196,155,100.0,100.0
Canada,Ontario,2023-10-01,Tableau,Business Intelligence,142,124,98.39,85.82
Canada,Ontario,2023-11-01,Tableau,Business Intelligence,140,125,96.79,86.62
Canada,Ontario,2023-12-01,Tableau,Business Intelligence,140,127,96.44,87.54
Canada,Ontario,2024-01-01,Tableau,Business Intelligence,139,126,96.27,87.03
Canada,Ontario,2024-02-01,Tableau,Business Intelligence,138,126,95.35,87.03
Canada,Ontario,2024-03-01,Tableau,Business Intelligence,138,125,95.46,86.74
Canada,Ontario,2024-04-01,Tableau,Business Intelligence,138,124,95.58,85.82
Canada,Ontario,2024-05-01,Tableau,Business Intelligence,139,122,95.98,84.67
Canada,Ontario,2024-06-01,Tableau,Business Intelligence,139,124,96.15,85.76
Canada,Ontario,2024-07-01,Tableau,Business Intelligence,141,127,97.65,87.83
Canada,Ontario,2024-08-01,Tableau,Business Intelligence,140,129,96.44,89.04
Canada,Ontario,2024-09-01,Tableau,Business Intelligence,142,131,98.11,90.41
Canada,Ontario,2024-10-01,Tableau,Business Intelligence,141,132,97.53,91.27
Canada,Ontario,2024-11-01,Tableau,Business Intelligence,144,131,99.83,90.41
Canada,Ontario,2024-12-01,Tableau,Business Intelligence,146,133,100.75,91.96
Canada,Ontario,2025-01-01,Tableau,Business Intelligence,145,135,100.46,93.0
Canada,Ontario,2025-02-01,Tableau,Business Intelligence,144,134,99.77,92.77
Canada,Ontario,2025-03-01,Tableau,Business Intelligence,144,135,99.31,93.46
Canada,Ontario,2025-04-01,Tableau,Business Intelligence,144,137,99.6,94.83
Canada,Ontario,2025-05-01,Tableau,Business Intelligence,143,138,99.02,95.24
Canada,Ontario,2025-06-01,Tableau,Business Intelligence,145,139,100.4,96.27
Canada,Ontario,2025-07-01,Tableau,Business Intelligence,144,141,99.43,97.42
Canada,Ontario,2025-08-01,Tableau,Business Intelligence,144,142,99.31,98.34
Canada,Ontario,2025-09-01,Tableau,Business Intelligence,145,145,100.0,100.0
Canada,Ontario,2023-10-01,Machine Learning,AI/ML,170,107,80.78,72.89
Canada,Ontario,2023-11-01,Machine Learning,AI/ML,173,106,81.96,72.21
Canada,Ontario,2023-12-01,Machine Learning,AI/ML,173,109,81.76,73.73
Canada,Ontario,2024-01-01,Machine Learning,AI/ML,174,111,82.59,75.59
Canada,Ontario,2024-02-01,Machine Learning,AI/ML,177,112,83.93,75.87
Canada,Ontario,2024-03-01,Machine Learning,AI/ML,182,112,86.06,76.16
Canada,Ontario,2024-04-01,Machine Learning,AI/ML,180,116,85.27,78.86
Canada,Ontario,2024-05-01,Machine Learning,AI/ML,179,118,84.6,80.38
Canada,Ontario,2024-06-01,Machine Learning,AI/ML,183,120,86.61,81.51
Canada,Ontario,2024-07-01,Machine Learning,AI/ML,182,123,86.18,83.37
Canada,Ontario,2024-08-01,Machine Learning,AI/ML,181,123,85.94,83.26
Canada,Ontario,2024-09-01,Machine Learning,AI/ML,183,125,86.73,84.95
Canada,Ontario,2024-10-01,Machine Learning,AI/ML,186,128,88.14,86.7
Canada,Ontario,2024-11-01,Machine Learning,AI/ML,188,129,88.89,87.66
Canada,Ontario,2024-12-01,Machine Learning,AI/ML,188,130,88.97,88.5
Canada,Ontario,2025-01-01,Machine Learning,AI/ML,191,132,90.71,89.35
Canada,Ontario,2025-02-01,Machine Learning,AI/ML,195,133,92.36,89.97
Canada,Ontario,2025-03-01,Machine Learning,AI/ML,196,134,93.03,91.09
Canada,Ontario,2025-04-01,Machine Learning,AI/ML,199,137,94.05,92.73
Canada,Ontario,2025-05-01,Machine Learning,AI/ML,202,141,95.47,95.38
Canada,Ontario,2025-06-01,Machine Learning,AI/ML,204,142,96.53,96.39
Canada,Ontario,2025-07-01,Machine Learning,AI/ML,204,144,96.81,97.63
Canada,Ontario,2025-08-01,Machine Learning,AI/ML,208,145,98.74,98.2
Canada,Ontario,2025-09-01,Machine Learning,AI/ML,211,147,100.0,100.0
Canada,Ontario,2023-10-01,Generative AI / Prompting,AI/ML,94,46,55.55,49.46
Canada,Ontario,2023-11-01,Generative AI / Prompting,AI/ML,96,47,56.77,50.63
Canada,Ontario,2023-12-01,Generative AI / Prompting,AI/ML,100,48,58.83,52.33
Canada,Ontario,2024-01-01,Generative AI / Prompting,AI/ML,103,51,60.49,54.84
Canada,Ontario,2024-02-01,Generative AI / Prompting,AI/ML,106,52,62.74,56.27
Canada,Ontario,2024-03-01,Generative AI / Prompting,AI/ML,108,54,63.81,58.24
Canada,Ontario,2024-04-01,Generative AI / Prompting,AI/ML,111,54,65.23,58.69
Canada,Ontario,2024-05-01,Generative AI / Prompting,AI/ML,115,56,67.68,60.57
Canada,Ontario,2024-06-01,Generative AI / Prompting,AI/ML,118,57,69.78,61.65
Canada,Ontario,2024-07-01,Generative AI / Prompting,AI/ML,123,58,72.37,63.17
Canada,Ontario,2024-08-01,Generative AI / Prompting,AI/ML,126,59,73.99,64.16
Canada,Ontario,2024-09-01,Generative AI / Prompting,AI/ML,128,61,75.6,66.04
Canada,Ontario,2024-10-01,Generative AI / Prompting,AI/ML,131,63,77.21,68.46
Canada,Ontario,2024-11-01,Generative AI / Prompting,AI/ML,134,66,79.07,71.33
Canada,Ontario,2024-12-01,Generative AI / Prompting,AI/ML,137,67,80.59,72.85
Canada,Ontario,2025-01-01,Generative AI / Prompting,AI/ML,140,70,82.44,75.63
Canada,Ontario,2025-02-01,Generative AI / Prompting,AI/ML,145,73,85.28,78.58
Canada,Ontario,2025-03-01,Generative AI / Prompting,AI/ML,146,75,85.97,81.36
Canada,Ontario,2025-04-01,Generative AI / Prompting,AI/ML,151,78,89.05,83.96
Canada,Ontario,2025-05-01,Generative AI / Prompting,AI/ML,154,80,90.76,86.83
Canada,Ontario,2025-06-01,Generative AI / Prompting,AI/ML,157,83,92.52,90.05
Canada,Ontario,2025-07-01,Generative AI / Prompting,AI/ML,161,87,94.67,93.91
Canada,Ontario,2025-08-01,Generative AI / Prompting,AI/ML,165,89,97.26,96.33
Canada,Ontario,2025-09-01,Generative AI / Prompting,AI/ML,170,93,100.0,100.0
Canada,Ontario,2023-10-01,Data Engineering,Data,162,100,79.15,78.84
Canada,Ontario,2023-11-01,Data Engineering,Data,162,101,79.43,79.43
Canada,Ontario,2023-12-01,Data Engineering,Data,160,103,78.17,81.25
Canada,Ontario,2024-01-01,Data Engineering,Data,160,102,78.46,80.34
Canada,Ontario,2024-02-01,Data Engineering,Data,159,103,77.68,81.12
Canada,Ontario,2024-03-01,Data Engineering,Data,162,104,79.15,82.04
Canada,Ontario,2024-04-01,Data Engineering,Data,164,104,80.37,82.04
Canada,Ontario,2024-05-01,Data Engineering,Data,164,107,80.0,83.87
Canada,Ontario,2024-06-01,Data Engineering,Data,166,108,81.26,84.91
Canada,Ontario,2024-07-01,Data Engineering,Data,170,108,83.25,85.11
Canada,Ontario,2024-08-01,Data Engineering,Data,171,111,83.74,87.13
Canada,Ontario,2024-09-01,Data Engineering,Data,176,112,86.26,88.24
Canada,Ontario,2024-10-01,Data Engineering,Data,181,113,88.66,88.77
Canada,Ontario,2024-11-01,Data Engineering,Data,184,114,89.88,89.68
Canada,Ontario,2024-12-01,Data Engineering,Data,183,116,89.39,91.05
Canada,Ontario,2025-01-01,Data Engineering,Data,186,117,91.14,92.03
Canada,Ontario,2025-02-01,Data Engineering,Data,188,120,91.99,94.45
Canada,Ontario,2025-03-01,Data Engineering,Data,188,120,91.83,94.25
Canada,Ontario,2025-04-01,Data Engineering,Data,189,120,92.2,94.32
Canada,Ontario,2025-05-01,Data Engineering,Data,193,122,94.35,95.75
Canada,Ontario,2025-06-01,Data Engineering,Data,193,123,94.55,96.41
Canada,Ontario,2025-07-01,Data Engineering,Data,201,123,98.09,97.06
Canada,Ontario,2025-08-01,Data Engineering,Data,201,125,98.41,98.56
Canada,Ontario,2025-09-01,Data Engineering,Data,205,127,100.0,100.0
Canada,Ontario,2023-10-01,Cloud (Azure),Cloud,188,120,77.17,78.4
Canada,Ontario,2023-11-01,Cloud (Azure),Cloud,188,120,77.27,78.4
Canada,Ontario,2023-12-01,Cloud (Azure),Cloud,192,121,78.7,79.43
Canada,Ontario,2024-01-01,Cloud (Azure),Cloud,190,125,78.16,81.61
Canada,Ontario,2024-02-01,Cloud (Azure),Cloud,194,126,79.76,82.54
Canada,Ontario,2024-03-01,Cloud (Azure),Cloud,196,128,80.48,83.9
Canada,Ontario,2024-04-01,Cloud (Azure),Cloud,197,128,80.82,83.79
Canada,Ontario,2024-05-01,Cloud (Azure),Cloud,200,128,82.05,83.62
Canada,Ontario,2024-06-01,Cloud (Azure),Cloud,203,127,83.34,83.46
Canada,Ontario,2024-07-01,Cloud (Azure),Cloud,205,129,84.23,84.49
Canada,Ontario,2024-08-01,Cloud (Azure),Cloud,211,129,86.79,84.66
Canada,Ontario,2024-09-01,Cloud (Azure),Cloud,211,130,86.55,85.26
Canada,Ontario,2024-10-01,Cloud (Azure),Cloud,211,131,86.55,85.91
Canada,Ontario,2024-11-01,Cloud (Azure),Cloud,214,134,87.95,87.81
Canada,Ontario,2024-12-01,Cloud (Azure),Cloud,220,135,90.44,88.36
